Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
09/24/2026 09:00 AM ET,12316 SUAREZ ST,"$131,110.49","$131,152.00","$131,110.49",2018 CA 002676 NC,0770090049,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2018 CA 002676 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0770090049
09/24/2026 09:00 AM ET,,"$238,996.77",$0.00,Hidden,2025 CA 001336 NC,Property Appraiser,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 001336 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/Property Appraiser
09/24/2026 09:00 AM ET,4329 PASADENA CT,"$379,455.87","$216,411.00","$404,618.07",2025 CA 003193 NC,0070110042,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003193 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0070110042
09/24/2026 09:00 AM ET,735 ROMA RD,"$18,491.39","$48,100.00","$18,723.77",2025 CA 004492 SC,0427011324,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004492 SC&bypassPage=1,https://www.sc-pa.com/propertysearch/0427011324
09/24/2026 09:00 AM ET,2839 HARDEE DR,"$502,613.24","$384,400.00","$523,946.49",2025 CA 004792 NC,0112020041,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004792 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0112020041
09/24/2026 09:00 AM ET,6227 GREEN VIEW CIR 77,"$40,129.48","$105,342.00",Hidden,2025 CA 005740 NC,0101163023,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 005740 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0101163023
09/25/2026 09:00 AM ET,1505 RIVAL TER,"$117,551.19","$171,100.00","$117,551.19",2024 CA 002039 NC,0979040532,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 002039 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0979040532
09/25/2026 09:00 AM ET,5875 SPEARMAN CIR,"$143,126.48","$153,300.00","$121,800.00",2025 CA 005273 NC,1000249403,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 005273 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/1000249403
09/25/2026 09:00 AM ET,3112 SAVOY WAY,"$348,679.52","$205,300.00","$348,679.52",2026 CA 000708 NC,0063060007,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 000708 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0063060007
09/28/2026 09:00 AM ET,2816 HARDEE DR,"$344,066.33","$183,176.00","$344,066.33",2026 CA 001930 NC,0112020047,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 001930 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0112020047
09/29/2026 09:00 AM ET,7510 PRESERVATION DR,"$665,370.96","$1,098,954.00","$665,370.96",2024 CA 003978 NC,0283080008,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 003978 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0283080008
09/29/2026 09:00 AM ET,7011 ELYTON DR,"$210,793.09","$171,300.00","$210,793.09",2025 CA 003303 NC,0995261810,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003303 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0995261810
09/29/2026 09:00 AM ET,5524 KISMET TER,"$307,870.42","$207,300.00","$307,870.42",2025 CA 005992 NC,1002005508,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 005992 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/1002005508
09/29/2026 09:00 AM ET,5321 HIGHTOWER RD,"$254,824.28","$199,118.00","$254,824.28",2025 CA 006190 NC,1142257601,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 006190 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/1142257601
09/29/2026 09:00 AM ET,4147 BULLARD ST,"$246,719.42","$126,000.00","$246,719.42",2025 CA 006255 NC,0995194412,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 006255 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0995194412
09/29/2026 09:00 AM ET,4035 SANDUNE AVE,"$444,445.01","$223,900.00","$444,445.01",2025 CA 006261 NC,0989037713,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 006261 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0989037713
09/29/2026 09:00 AM ET,1180 EUCLID RD,"$224,954.49","$202,600.00","$224,954.49",2025 CA 006373 NC,0472120029,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 006373 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0472120029
09/29/2026 09:00 AM ET,4779 LOS RIOS ST,"$253,187.44","$165,200.00","$253,187.44",2025 CA 006425 NC,0996192117,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 006425 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0996192117
09/29/2026 09:00 AM ET,1956 32ND ST,"$132,906.85","$62,480.00","$132,906.85",2026 CA 000341 NC,2020080043,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 000341 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/2020080043
09/29/2026 09:00 AM ET,,"$1,443,066.96",$0.00,"$1,443,066.96",2026 CA 001320 NC,MULTIPLE PARCEL,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 001320 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/MULTIPLE PARCEL
09/30/2026 09:00 AM ET,4313 MAYGOG RD,"$161,984.69","$71,964.00","$161,984.69",2025 CA 003458 NC,0071010007,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003458 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0071010007
10/01/2026 09:00 AM ET,605 LINDEN DR,"$33,003.14","$111,077.00","$33,003.14",2024 CC 005756 SC,0851031312,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CC 005756 SC&bypassPage=1,https://www.sc-pa.com/propertysearch/0851031312
