Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
,1891 ENGLEWOOD RD 147,"$12,468.50","$34,980.00","$12,864.32",2025 CC 005679 SC,0485101147,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CC 005679 SC&bypassPage=1,https://www.sc-pa.com/propertysearch/0485101147
,5241 MAHOGANY RUN AVE 414 BLD,"$26,869.07","$120,762.00","$27,719.59",2025 CA 004647 NC,0267101040,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004647 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0267101040
,151 BOWDOIN RD,"$212,489.30","$172,100.00","$212,489.30",2024 CA 000031 NC,0461130078,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 000031 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0461130078
,,$0.00,$0.00,$0.00,2025 CA 004509 NC,Property Appraiser,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004509 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/Property Appraiser
,20217 LAGENTE CIR,"$384,699.42","$248,300.00","$384,699.42",2025 CA 002126 NC,0778020430,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 002126 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0778020430
,2249 WOODMERE RD,"$437,009.85","$97,467.00",Hidden,2025 CA 001834 NC,0450100036,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 001834 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0450100036
,7530 LAMPLIGHTER AVE,"$332,980.61","$66,987.00","$332,980.61",2024 CA 000968 NC,0973172728,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 000968 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0973172728
,3328 NEKOOSA ST,"$161,447.84","$124,386.00","$161,447.84",2025 CA 003737 NC,0993263605,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003737 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0993263605
,229 VENICE PALMS BLVD,"$411,152.28","$429,600.00","$411,152.28",2025 CA 004144 NC,0413110040,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004144 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0413110040
,673 S MOON DR,"$286,763.89","$246,551.00","$286,763.89",2025 CA 004439 NC,0732003130,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004439 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0732003130
,5449 APPOMATTOX DR,"$332,633.71","$229,700.00","$332,633.71",2025 CA 004548 NC,0994051710,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004548 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0994051710
,1939 ALLIANCE AVE,"$13,155.56","$333,200.00","$13,982.95",2025 CC 010182 NC,0962092457,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CC 010182 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0962092457
,4153 HONOLULU DR,"$257,109.89","$348,800.00","$257,109.89",2024 CA 006286 NC,0261110051,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 006286 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0261110051
,605 LINDEN DR,"$33,003.14","$111,077.00","$33,003.14",2024 CC 005756 SC,0851031312,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CC 005756 SC&bypassPage=1,https://www.sc-pa.com/propertysearch/0851031312
,8697 SAN PABLO AVE,"$189,206.45","$188,600.00","$189,206.45",2025 CA 000213 NC,0995193712,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 000213 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0995193712
,4329 PASADENA CT,"$379,455.87","$216,411.00","$379,455.87",2025 CA 003193 NC,0070110042,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003193 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0070110042
,,"$2,346.23",$0.00,"$2,346.23",2025 CC 007829 NC,TIMESHARE,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CC 007829 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/TIMESHARE
,20294 LAGENTE CIR,"$281,886.29","$244,500.00","$281,886.29",2023 CA 008709 NC,0778112500,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023 CA 008709 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0778112500
,1608 BOB O LINK DR,"$294,210.49","$173,444.00","$294,210.49",2024 CA 000241 NC,0437020033,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 000241 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0437020033
,205 PORTIA ST S,"$107,528.24","$151,700.00","$107,528.24",2024 CA 005598 NC,0384150005,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 005598 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0384150005
,114 MAGNOLIA AVE,"$374,509.46","$338,837.00","$374,509.46",2025 CA 002988 NC,0172010002,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 002988 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0172010002
,1478 HEDGEWOOD CIR,"$378,247.54","$237,200.00","$378,247.54",2025 CA 003965 NC,1007256601,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003965 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/1007256601
